Date,Open,High,Low,Close,Adj Close,Volume
4/25/2023,159.820007,163.470001,158.75,160.669998,160.669998,121999300
4/26/2023,160.289993,160.669998,153.139999,153.75,153.75,153364100
4/27/2023,152.639999,160.479996,152.369995,160.190002,160.190002,127015200
4/28/2023,160.899994,165,157.320007,164.309998,164.309998,122515800
5/1/2023,163.169998,163.279999,158.830002,161.830002,161.830002,109015000
5/2/2023,161.880005,165.490005,158.929993,160.309998,160.309998,128259700
5/3/2023,160.009995,165,159.910004,160.610001,160.610001,119728000
5/4/2023,162.710007,162.949997,159.649994,161.199997,161.199997,95108500
5/5/2023,163.970001,170.789993,163.509995,170.059998,170.059998,107440900
5/8/2023,173.720001,173.800003,169.190002,171.789993,171.789993,112249400
5/9/2023,168.949997,169.820007,166.559998,169.149994,169.149994,88965000
5/10/2023,172.550003,174.429993,166.679993,168.539993,168.539993,119840700
5/11/2023,168.699997,173.570007,166.789993,172.080002,172.080002,103889900
5/12/2023,176.070007,177.380005,167.229996,167.979996,167.979996,157577100
5/15/2023,167.660004,169.759995,164.550003,166.350006,166.350006,105592500
5/16/2023,165.649994,169.520004,164.350006,166.520004,166.520004,98288800
5/17/2023,168.410004,174.5,167.190002,173.860001,173.860001,125473600
5/18/2023,174.220001,177.059998,172.449997,176.889999,176.889999,109520300
5/19/2023,177.169998,181.949997,176.309998,180.139999,180.139999,136024200
5/22/2023,180.699997,189.320007,180.110001,188.869995,188.869995,132001400
5/23/2023,186.199997,192.960007,185.259995,185.770004,185.770004,156952100
5/24/2023,182.229996,184.220001,178.220001,182.899994,182.899994,137605100
5/25/2023,186.539993,186.779999,180.580002,184.470001,184.470001,96870700
5/26/2023,184.619995,198.600006,184.529999,193.169998,193.169998,162061500
5/30/2023,200.100006,204.479996,197.529999,201.160004,201.160004,128818700
5/31/2023,199.779999,203.949997,195.119995,203.929993,203.929993,150711700
6/1/2023,202.589996,209.800003,199.369995,207.520004,207.520004,148029900
6/2/2023,210.149994,217.25,209.75,213.970001,213.970001,164129000
6/5/2023,217.800003,221.289993,214.520004,217.610001,217.610001,151143100
6/6/2023,216.139999,221.910004,212.529999,221.309998,221.309998,146911600
6/7/2023,228,230.830002,223.199997,224.570007,224.570007,185710800
6/8/2023,224.220001,235.229996,223.009995,234.860001,234.860001,164489700
6/9/2023,249.070007,252.419998,242.020004,244.399994,244.399994,199882300
6/12/2023,247.940002,250.970001,244.589996,249.830002,249.830002,150337900
6/13/2023,253.509995,259.679993,251.339996,258.709991,258.709991,162384300
6/14/2023,260.170013,261.570007,250.5,256.790009,256.790009,170575500
6/15/2023,248.399994,258.950012,247.289993,255.899994,255.899994,160171200
6/16/2023,258.920013,263.600006,257.209991,260.540009,260.540009,167563700
6/20/2023,261.5,274.75,261.119995,274.450012,274.450012,165611200
6/21/2023,275.130005,276.98999,257.779999,259.459991,259.459991,211797100
6/22/2023,250.770004,265,248.25,264.609985,264.609985,166875900
6/23/2023,259.290009,262.450012,252.800003,256.600006,256.600006,176584100
6/26/2023,250.070007,258.369995,240.699997,241.050003,241.050003,179990600
6/27/2023,243.240005,250.389999,240.850006,250.210007,250.210007,164968200
6/28/2023,249.699997,259.880005,248.889999,256.23999,256.23999,159770800
6/29/2023,258.029999,260.73999,253.610001,257.5,257.5,131283400
6/30/2023,260.600006,264.450012,259.890015,261.769989,261.769989,112267600
7/3/2023,276.48999,284.25,275.109985,279.820007,279.820007,119685900
7/5/2023,278.820007,283.850006,277.600006,282.480011,282.480011,131530900
7/6/2023,278.089996,279.970001,272.880005,276.540009,276.540009,120332100
7/7/2023,278.429993,280.779999,273.769989,274.429993,274.429993,113602000
7/10/2023,276.470001,277.519989,265.100006,269.609985,269.609985,119425400
7/11/2023,268.649994,270.899994,266.369995,269.790009,269.790009,91972400
7/12/2023,276.329987,276.519989,271.459991,271.98999,271.98999,95672100
7/13/2023,274.589996,279.450012,270.600006,277.899994,277.899994,112681500
7/14/2023,277.01001,285.299988,276.309998,281.380005,281.380005,119771100
7/17/2023,286.630005,292.230011,283.570007,290.380005,290.380005,131569600
7/18/2023,290.149994,295.26001,286.01001,293.339996,293.339996,112434700
7/19/2023,296.040009,299.290009,289.519989,291.26001,291.26001,142355400
7/20/2023,279.559998,280.929993,261.200012,262.899994,262.899994,175158300
